,drugbank_id,category,uniprot_id,organism
0,DB00006,target,P00734,Humans
1,DB00006,enzyme,P05164,Humans
2,DB00007,target,P30968,Humans
3,DB00014,target,P22888,Humans
4,DB00014,target,P30968,Humans
5,DB00027,transporter,P08183,Humans
6,DB00035,target,P30518,Humans
7,DB00035,target,P37288,Humans
8,DB00035,target,P47901,Humans
9,DB00035,enzyme,P23219,Humans
10,DB00035,enzyme,P35354,Humans
11,DB00050,target,P30968,Humans
12,DB00050,target,P22888,Humans
13,DB00067,target,P30518,Humans
14,DB00067,target,P37288,Humans
15,DB00067,target,P47901,Humans
16,DB00067,transporter,Q92887,Humans
17,DB00091,target,P49069,Humans
18,DB00091,target,Q96LZ3,Humans
19,DB00091,target,P62937,Humans
20,DB00091,target,P30405,Humans
21,DB00091,enzyme,P20815,Humans
22,DB00091,enzyme,P08684,Humans
23,DB00091,enzyme,P33261,Humans
24,DB00091,enzyme,P10635,Humans
25,DB00091,transporter,P08183,Humans
26,DB00091,transporter,O95342,Humans
27,DB00091,transporter,Q12908,Humans
28,DB00091,transporter,Q14973,Humans
29,DB00091,transporter,Q4U2R8,Humans
30,DB00091,transporter,Q5T3U5,Humans
31,DB00091,transporter,Q92887,Humans
32,DB00091,transporter,Q9UNQ0,Humans
33,DB00091,transporter,Q9Y6L6,Humans
34,DB00091,transporter,Q9NPD5,Humans
35,DB00104,enzyme,P05164,Humans
36,DB00104,enzyme,P08684,Humans
37,DB00104,carrier,P02768,Humans
38,DB00106,target,P30968,Humans
39,DB00114,target,Q9BYV1,Humans
40,DB00114,target,Q99259,Humans
41,DB00114,target,P35520,Humans
42,DB00114,target,Q16719,Humans
43,DB00114,target,P34896,Humans
44,DB00114,target,Q9Y697,Humans
45,DB00114,target,P17174,Humans
46,DB00114,target,P04181,Humans
47,DB00114,target,P11926,Humans
48,DB00114,target,Q8N5Z0,Humans
49,DB00114,target,P80404,Humans
50,DB00114,target,Q9NVS9,Humans
51,DB00114,target,O95470,Humans
52,DB00114,target,P17735,Humans
53,DB00114,target,Q16773,Humans
54,DB00114,target,O15270,Humans
55,DB00114,target,Q9Y600,Humans
56,DB00114,target,P19113,Humans
57,DB00114,target,Q96A70,Humans
58,DB00114,target,P20132,Humans
59,DB00114,target,O75600,Humans
60,DB00114,target,P23378,Humans
61,DB00114,target,P24298,Humans
62,DB00114,target,Q9Y617,Humans
63,DB00114,target,P13196,Humans
64,DB00114,target,P21549,Humans
65,DB00114,target,Q96GD0,Humans
66,DB00114,target,O15269,Humans
67,DB00114,target,P32929,Humans
